Installed 1 package in 2ms
apps/backend/app/api/v1/_internal/email/router.py:63: unused function 'email_webhook' (60% confidence)
apps/backend/app/api/v1/_internal/yookassa/handlers.py:1313: unused attribute 'failed_at' (60% confidence)
apps/backend/app/api/v1/_internal/yookassa/router.py:62: unused function 'yookassa_webhook' (60% confidence)
apps/backend/app/core/actor_context.py:53: unused function 'reset_actor' (60% confidence)
apps/backend/app/core/audit.py:515: unused variable 'LOCKED_EMAIL_TEMPLATES' (60% confidence)
apps/backend/app/core/audit_payloads.py:47: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:57: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:66: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:74: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:102: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:122: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:125: unused variable 'refund_of_payment_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:138: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:154: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:166: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:175: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:198: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:226: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:237: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:256: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:260: unused variable 'exhausted_at' (60% confidence)
apps/backend/app/core/audit_payloads.py:274: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:308: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:329: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:351: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:383: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:400: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:404: unused variable 'cancelled_by_user_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:433: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:467: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:473: unused variable 'cancelled_by_user_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:486: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:503: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:505: unused variable 'old_booking_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:506: unused variable 'new_booking_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:509: unused variable 'old_start' (60% confidence)
apps/backend/app/core/audit_payloads.py:510: unused variable 'new_start' (60% confidence)
apps/backend/app/core/audit_payloads.py:546: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:550: unused variable 'to_email' (60% confidence)
apps/backend/app/core/audit_payloads.py:563: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:567: unused variable 'to_email' (60% confidence)
apps/backend/app/core/audit_payloads.py:575: unused variable 'provider_error_code' (60% confidence)
apps/backend/app/core/audit_payloads.py:595: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:598: unused variable 'invited_user_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:599: unused variable 'invited_email' (60% confidence)
apps/backend/app/core/audit_payloads.py:600: unused variable 'invited_role' (60% confidence)
apps/backend/app/core/audit_payloads.py:601: unused variable 'invitation_expires_at' (60% confidence)
apps/backend/app/core/audit_payloads.py:604: unused variable 'link_copied' (60% confidence)
apps/backend/app/core/audit_payloads.py:615: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:618: unused variable 'accepted_user_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:619: unused variable 'invitation_token_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:629: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:632: unused variable 'revoked_user_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:633: unused variable 'invitation_token_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:645: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:648: unused variable 'deactivated_user_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:655: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:658: unused variable 'reactivated_user_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:669: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:672: unused variable 'deleted_user_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:693: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:697: unused variable 'email_hint' (60% confidence)
apps/backend/app/core/audit_payloads.py:710: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:731: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:735: unused variable 'to_email' (60% confidence)
apps/backend/app/core/audit_payloads.py:756: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:780: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:820: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:841: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:860: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:880: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:904: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:921: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:938: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:962: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:980: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:997: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1030: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1065: unused variable 'idempotency_outcome' (60% confidence)
apps/backend/app/core/audit_payloads.py:1092: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1112: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1117: unused variable 'settled_at' (60% confidence)
apps/backend/app/core/audit_payloads.py:1129: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1145: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1147: unused variable 'comp_config_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:1157: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1172: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1176: unused variable 'paid_by_user_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:1187: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1189: unused variable 'clawback_accrual_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:1192: unused variable 'source_refund_payment_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:1211: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1226: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1243: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1250: unused variable 'force_cascade' (60% confidence)
apps/backend/app/core/audit_payloads.py:1251: unused variable 'cancelled_slot_count' (60% confidence)
apps/backend/app/core/audit_payloads.py:1252: unused variable 'cancelled_booking_count' (60% confidence)
apps/backend/app/core/audit_payloads.py:1262: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1285: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1290: unused variable 'entry_type' (60% confidence)
apps/backend/app/core/audit_payloads.py:1305: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1328: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1343: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1366: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1369: unused variable 'referral_code_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:1380: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1385: unused variable 'referral_code_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:1399: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1432: unused variable 'model_config' (60% confidence)
apps/backend/app/core/audit_payloads.py:1435: unused variable 'changed_user_id' (60% confidence)
apps/backend/app/core/audit_payloads.py:1436: unused variable 'old_role' (60% confidence)
apps/backend/app/core/config.py:30: unused method '_validate_production_required' (60% confidence)
apps/backend/app/core/config.py:51: unused variable 'model_config' (60% confidence)
apps/backend/app/core/config.py:163: unused method '_gym_hours_range_invariant' (60% confidence)
apps/backend/app/core/config.py:173: unused method '_dev_otp_pin_guard' (60% confidence)
apps/backend/app/core/config.py:186: unused method '_resolve_email_from' (60% confidence)
apps/backend/app/core/dependencies.py:1053: unused function 'get_fiscal_receipt_dispatcher' (60% confidence)
apps/backend/app/core/exceptions.py:150: unused class 'InvalidPhoneError' (60% confidence)
apps/backend/app/core/exceptions.py:559: unused function '_app_error_handler' (60% confidence)
apps/backend/app/core/exceptions.py:570: unused function '_request_validation_handler' (60% confidence)
apps/backend/app/core/idempotency.py:62: unused variable 'body_hash' (60% confidence)
apps/backend/app/core/idempotency.py:63: unused variable 'body_b64' (60% confidence)
apps/backend/app/core/middleware.py:31: unused method 'dispatch' (60% confidence)
apps/backend/app/core/middleware.py:64: unused method 'dispatch' (60% confidence)
